,text
122,"<|startoftext|>Written by: Michael Curtis and Gregory S. Malin Transcribed by: Eric Aase [Scene Central Perk, the whole gang is entering Joey: I'm tellin' ya that girl totally winked at me All: Did not, she did not wink at you...(sees that their sacred couch is occupied by strangers) Chandler: Huh. (They all leave, dejected Opening Credit [Scene: Rachel and Monica's, Phoebe, Ross, and Rachel are eating breakfast. Ross: I have to say Tupolo Honey by Van Morrison Rachel: Nooo Way! The most romantic song ever is The Way We Were Phoebe: See, I-I think that one that Elton John wrote for, um, that guy on Who's The Boss Rachel: What song was that, Pheebs Phoebe: (singing) Hold me close, young Tony Dan-za (Monica enters from her bedroom Phoebe: Hi Monica Ross: Hey Mon Rachel: Hey Mon (she just walks straight into the bathroom Phoebe: Oh my God, has she slept at all Ross: Nope Rachel: No, it's been three nights in a row Ross: Yeah, she finally stopped crying yesterday, but then she found one of Richard's cigar butts out on the terrace, so Phoebe: Oh, okay that explains it. I got a call at two in the morning, but all I could hear was, like, this high squeaky sound, so I thought okay its like a mouse or a opossum. But then I realized where would a mouse or a opossum get the money to make the phone call [Scene: Chandler and Joey's, Joey is coming in from the bedroom Chandler: Morning<|endoftext|>"
123,"<|startoftext|>Originally written by Ira Ungerleider Teleplay by Brown Mandell Transcribed by Eric B Aasen HTMLed by guineapig [Scene: Central Perk, the whole gang is there as Joey enters RACHEL: Hey Joey, how'd the audition go JOEY: Incredible! I met the director this time and you'll never believe who it was ALL: Who JOEY: All right. I'll give you one hint. Warren Beatty ALL: Wow JOEY: Yeah, there's just one thing that might be kind've a problem. See, I, uh, had to kiss this guy CHANDLER: 'Cause he was just so darn cute JOEY: No, as part of the audition. See, I'm up for this part of this guy, who the main guy kisses ROSS: Well, hey. You're an actor, I say you just suck it up and do it. (Rachel looks at him in disbelief) Or you just do it JOEY: I did do it, I'm a professional MONICA: Then what's the problem JOEY: See after the scene, Mr. Beatty comes up to me and says 'good actor, bad kisser'. Can you believe that, me not a good kisser, that's like, like Mother Theresa, not a good mother. PHOEBE: Well, come on, who cares what that guy thinks. What does Warren Beatty know about kissing (Chandler and Monica, give her a look that says 'think about it') Ooh OPENING CREDIT [Scene: continued from earlier CHANDLER: Hey, what did your agent say JOEY: Yep, this kiss thing is defiantly a problem, Mr. Beatty wants to see it again on Monday. Man, I gotta figure out what I'm doing wrong. Oh, okay, one of you girls come over here and kiss me MONICA: What, forget it RACHEL: Yeah, right JOEY: Come on, I need your help here<|endoftext|>"
124,"<|startoftext|>Written by: Doty Abram Transcribed by: Eric Aase With Scenes Taken From Episodes Transcribed by: Mindy Mattingly Phillips, guineapig, Ruth Curran, Josh Hodge, and Me [Scene: Joey and Rachel's apartment, Phoebe is helping Joey rehearse for an audition. Phoebe is overacting her part. Joey: The reactors gonna blow in three seconds, were never gonna make it Phoebe: Youve got to get out of here! Save yourself Joey: No! I wont leave you Phoebe: Dont worry about me, Im a robot! Im just a machine! Joey: No youre not! Not to me Phoebe: (she stops reading from the script) Oh my God Joey: What Phoebe: I am extremely talented Joey: Yeah, youre great! Okay, lets take it fro Phoebe: (interrupting) No, I mean I was really acting my ass off Joey: Yeah, I thought I was pretty good too Phoebe: Oh yeah, youre solid. Yeah, youre just no me Joey: Yknow what? I think thats enough for now. Yeah. I dont want to be over rehearsed Phoebe: (tremendously overacting) Fine! Ill do it without you! (Joey gives her thumbs up) I dont need you or anybody else! Im gonna make it on my own! (Joey closes the door to his bedroom.) Youll see!! Youll all see! Opening Credit [Scene: Joey and Rachel's apartment, Joey is memorizing his lines. Chandler, Rachel, and Phoebe are there as well. Chandler: (To Joey) So uh, whats this thing youre auditioning for Joey: Oh, its a new TV show. Yeah. Im up for the part of Mac Macaveli or ""Mac."" Yeah, Im a detective and I solve crimes with the help of my robot partner. Hes a, hes a Computerized Humanoid Electronically Enhanced Secret Enforcer or-or ""C.H.E.E.S.E. Rachel: So Mac and C.H.E.E.S.E Joey: Thats the title! Yeah! Yknow they really lucked out that the initials spell cheese Chandler: That is lucky<|endoftext|>"
125,"<|startoftext|>Teleplay by Shana Goldberg-Meehan & Scott Silver Story by Alicia Sky Varinaiti Transcribed by: Eric Aase [Scene: Monica and Rachel's erm, Chandler and Joey's, Chandler, Monica, and Phoebe are there. Phoebe is stressing out about something. Monica: What is it hon Phoebe: I-I cant find anything that I want to eat! Everything I eat makes me nauseous! Im telling you, being pregnant is no piece of cakeooh! Cake! (Chandler shrugs, and Phoebe grimaces.) No Monica: Aww, honey Im sorry Phoebe: God! Ooh! What is that smell? Its coming from the bathroom. Ooh! (She goes to the bathroom. Chandler: Wow! Pregnancy does give you some weird cravings [Cut to the bathroom, Joey is taking a shower and Phoebe knocks on the door. Joey: Yeah Phoebe: Its me. Its Phoebe. Listen theres something in here I want to eat, what-what smells so good (Joey sticks his head out of the shower curtain. Joey: Is it the shampoo? Its guava Phoebe: (she smells his head) No Joey: Oh! Wait-wait! (Reaches inside the shower.) Is it my bologna sandwich Phoebe: Yes. Yes. Yes. I cant believe it! The baby wants bologna! Maybe he wants me to eat meat? I cant eat meat Joey: Oh, wait-wait! (Reaches into the shower again.) Maybe its a pickle? (Phoebe grimaces at the smell. OPENING CREDIT [Scene: Central Perk, Chandler, Monica, Joey and Rachel are there. Rachel is writing something on a pad, and then crumples it up and throws it on the floor. Chandler: What are you writing Rachel: Well, Joshuas coming in tomorrow and since I dont have the guts to ask him out, Im going to sell him a coat and put this note in the pocket Chandler: Oh yeah? (He grabs the pad and starts reading it.) Joshua, give me a call sometime, guys like you (Pause) never go out of stylewhat did you throw away (Ross and Emily enter.<|endoftext|>"
126,"<|startoftext|>Written by: Andrew Reich & Ted Cohe Transcribed by: Eric Aase [Scene: Central Perk, everyone is there as Rachel enters, happily. Rachel: Good, you guys are all here Ross: Hey! What's up Rachel: Well, I have a job interview at Ralph Lauren tomorrow All: Congratulations! Ohh, that's great Rachel: I know Joey: Boy, that guy's underwear sucks Rachel: Wh-what? Joey: I got this pair marked excess, I gotta tell ya, there was no room for excess anything in there Rachel: Anyway, I'm going to be the coordinator of the woman's collection, I'll work right under the director, it's the perfect, perfect job for me Phoebe: Wow! Well, if you nail the interview, you'll get it Rachel: Yeah Phoebe: You wanna work on your interview skills Rachel: O-okay Phoebe: Okay! All right, let's start with the handshake. Hi Rachel: Hi (They shake hands. Phoebe: Very good handshake, good wrist action Monica: Let me try. (Gets up to join them. Phoebe: Okay. (They shake hands and she pulls away suddenly) Oh my God! What did I ever do to you?! (Rubbing her hand. Monica: Did I squeeze it too hard Phoebe: Let's just say, I'm glad I'm not Chandler (Chandler tries to comprehend that remark.<|endoftext|>"
127,"<|startoftext|>Written by: Adam Chas Transcribed by: Eric Aase [Scene: Central Perk, Gunther is pouring Rachel coffee. Gunther: Here you go Rachel: Thank you Gunther: (In his head) Say Rachel, I was wondering if youd like to go to a movie with me sometime. As my lover! Nnnsch, to out there. Maybe youd just like to ah, get something to eat with me sometime? As my lover Mark: (entering) Hi Rachel: Hi! All right, lets go shoppin! Mark: Um, y'know, before we go ah, theres something I need to say Rachel: Oh, okay Mark: Ive kinda of had this ah, this crush on you. (Rachel is shocked) But since you were with Ross, I-I didnt do anything about it. But, now that youre not, Id really like to ask you out sometime. So-so thats-thats what Im doing, now (Gunther gets this hurt expression on his face and goes into the back room Rachel: Wow! Umm... (Shes interrupted by a loud crash and the sound of braking dishes. Followed quickly by another crash. Everyone turns and looks at the back room, as Gunther emerges. Gunther: I dropped a cup Opening Credit [Scene: The hallway between the two apartments, Pete and Monica are returning from their date. Pete: ...so y'know, thats why, within a few years, that voice recognition is gonna be pretty much standard on any computer you buy. Y'know, so you could be like-like, Wash my car. Clean my room. Its not gonna be able to do any of those things, but itll understand what youre saying Monica: Oh, this is so great Pete: Yeah, it was Monica: All right then. (He leans in to kiss her goodnight, but she quickly kisses him on the cheek and pats his shoulder.) Bye (She goes into her apartment and sees Chandler, Phoebe, and Ross sitting there. Monica: Hello, people who do not live here All: Hi! Hello Monica: I gave you a key for emergencies<|endoftext|>"
128,"<|startoftext|>Originally written by Adam Chase and Ira Ungerleider Transcribed by guineapig [Pre-intro scene: Monica and Rachel's. Everyone is looking at papers Joey: How could someone get a hold of your credit card number Monica: I have no idea. But look how much they spent Rachel: Monica, would you calm down? The credit card people said that you only have to pay for the stuff that you bought Monica: I know. It's just such reckless spending Ross: I think when someone steals your credit card, they've kind of already thrown caution to the wind Chandler: Wow, what a geek. They spent $69.95 on a Wonder Mop Monica: That's me Phoebe: Oh! The yuk! Ross, he's doing it again! [Points to a lamp which is shaking behind the sofa Ross: Marcel, stop humping the lamp! Stop humping! Now Marcel, come back- [Marcel runs toward Rachel's room] come here, Marcel Rachel: Oh no, not in my room! I'll get him Monica: Ross, you've got to do something about the humping Ross: What? It's, it's just a phase Chandler: Well, that's what we said about Joey.. Ross: Would you all relax? It's not that big a deal Rachel: [Out of shot] Stop it! Marcel! Bad monkey Ross: What Rachel: Let's just say my Curious George doll is no longer curious [Intro [Scene 1: Monica and Rachel's, late at night. Mon is still up examining her bill. Rachel emerges from her room Rachel: Oh, Monica. You are not still going over that thing Monica: This woman's living my life Rachel: What<|endoftext|>"
129,"<|startoftext|>Written by: Andrew Reich & Ted Cohe Transcribed by: Eric Aase [Scene: Outside Central Perk, Monica and Phoebe are showing everyone the van they bought for the catering business. Its an old Dodge van, that has a cartoon woman riding on a dragon painted on the side of it. Phoebe: Okay Monica: Come on, no peeking! (They are leading the gang out with there hands over their eyes. Chandler: Our eyes are closed and were about to cross the street. Very good Phoebe: Okayyyyy, open up (They open their eyes and are stunned at the van. Ross: What did you want to show us? Because all I can see is this bitchin' van Phoebe: Yeah, its for our catering business Joey: I think I know that girl Monica: All right, umm, were not gonna really keep it this way though Rachel: No Phoebe: No, were gonna paint over the sword, and replace it with a baguette Rachel: Oh Phoebe: And also, we dont know what to do with this. (She turns on a switch and the girls nipples light up. Joey: Oh yeah, I definitely know her OPENING CREDIT [Scene: Monica and Rachel's, the gang is all there. Monica: (to Phoebe) Remember that guy from cooking school I told you about that put cilantro with everything Phoebe: Oh sure, Cilantro Larry Monica: Well, Im gonna fill in for him as food critic for the Chelsea Reporter Monica: Wow, Monica! What an amazing opportunity to influence dozens of people Phoebe: How could you say yes, what about our catering business Monica: Oh no-no-no, its only one night a week, and plus I get to take all of you out for a lot of free dinners<|endoftext|>"
130,"<|startoftext|>Written by: Marta Kauffman & David Cran Transcribed by: Eric Aase Joey: (Voice Over) Previously on Friends [A montage of scenes from The One Where Ross and Rachel Take A Break follows. [Scene: Monica and Rachel's, Ross is eating the picnic as Rachel comes home from work. Ross: I mean, I dont feel like I even have a girlfriend anymore Rachel: You want me to just quit my job so that you can feel like youve got a girlfriend Ross: Is this about Mark Rachel: (shocked) Oh my God Ross: Okay, its not, its not Rachel: Oh my God. I cannot keep having this same fight with you Ross! Look, urrgh, maybe we should take a break Ross: Fine, youre right. Lets ah, lets take a break, (goes to the door) lets cool off, okay, lets get some frozen yoghurt, or something.. (opens the door Rachel: No. A break from us (Ross looks at her, then leaves slamming the door behind him. [Scene: Monica and Rachel's, Mark is there, opening Chinese food boxes. Rachel: Then, we had this big, stupid fight, and I said I wanted to take a break, I dont want to take a break Ross: (on the phone) Ive been thinking, this is crazy, I mean dont, dont you think we can work on this Mark: Hey, what do you want to drink Ross: Whos that Rachel: Nobody Ross: Is that Mark Rachel: Umm, honey, look he just came over to... Ross: Yeah! Got it! (slams down the phone [Scene: The Philly. Chloe: Hey, come dance. What? Are you married? Cause thats okay<|endoftext|>"
131,"<|startoftext|>Written by: Seth Kurlan Transcribed by: Eric Aase [Scene: Monica and Rachel's, Joey, Monica, and Phoebe are there as Chandler enters. Chandler: (entering) Hey Phoebe: Hey! Check it out! This is unbelievable! Joey has been holding his breath for almost four minutes (We see Joey who has puffed up his cheeks and Chandler nonchalantly reaches down and pinches Joeys nose shut. In a few seconds, Joey has to move because hes now forced to actually hold his breath. Joey: (To Chandler) Dude! What are yoyou trying to kill me? Rachel: (entering from her room) Pheebs, I wanna ask you something Phoebe: Uh-huh, what Rachel: Well since Im movin out and-and youre so beautifu Phoebe: Oh Rachel: how about I move in with you Phoebe: Well, that would be great but then what do we do about Denise Monica: Whos Denise Phoebe: My roommate Rachel: You have a roommate? Phoebe: Yes, Denise. Denise Joey: Hey, what is with the secrecy Phoebe? Huh? And what about this Denise, is she cute Chandler: Pheebs, I dont understand. How can you have a roommate that none of us know anything about Phoebe: Maybe because you never listen to anything that I say. I talk about her all the time! DENISE!!!! Joey: Hey Rach, listen I was thinkin uh, Im gonna have an extra room over at my plac Rachel: Oh, thats true Joey: Yeah, why dont you move in with me? Itll be great! We could stay up late, watch movies, and you know about Naked Thursdays right Rachel: Yeah, yeah I think Im gonna find my own place Chandler: Hey-hey! I thought Naked Thursdays was just our thing man<|endoftext|>"
132,"<|startoftext|>Originally written by Alexa Junge Transcribed by guineapig [Pre-intro scene: Monica and Rachel's apartment. Chandler walks in and starts raiding the fridge. Then Rachel comes out of the shower with a towel wrapped round her waist, drying herself with another towel. Chandler and Rachel startle each other and she drops the towel for a second and snatches the rug off the couch Rachel: That is IT! You just barge in here, you don't knock Chandler: I'm sorry Rachel: -You have no respect for anybody's privacy Chandler: Rachel, wait, wait Rachel: No, you wait! This is ridiculous Chandler: Can I just say one thing Rachel: What? What? Chandler: That's a relatively open weave and I can still see your... nipular areas Rachel: Oh! [She storms off [Intro [Scene 1: Central Perk. Phoebe is there with her boyfriend Roger, talking to Rachel and Monica Phoebe: Oh, honey, honey, tell them the story about your patient who thinks things are, like, other things. Y'know? Like, the phone rings and she takes a shower Roger: That's pretty much it Phoebe: Oops Roger: But you tell it really well, sweetie Phoebe: Thanks. Okay, now go away so we can talk about you Roger: Okay. I'll miss you Phoebe: Isn't he great Rachel: He's so cute! And he seems to like you so much Phoebe: I know, I know. So sweet... and so complicated. And for a shrink, he's not too shrinky, y'know Monica: So, you think you'll do it on his couch<|endoftext|>"
133,"<|startoftext|>Teleplay by: Scott Siver Story by: David J. Lagan Transcribed by: Eric Aase [Scene: Central Perk, Phoebe, Rachel, Chandler, and Monica are there. Rachel is reading everyones horoscope. Rachel: Okay, Chandler Chandler: Okay Rachel: And your horoscope says, ""On the fifth a special someone is going to give you a gift. Chandler: (To Monica) Oh, well thank you in advance. (Kisses her. Rachel: Op, but the twelfth brings a lovers spat Monica: (To Chandler) You are going to make a joke about my special present! Why would you do that? Rachel: Oh, wait and on the nineteenth a secret crush announces itself (Phoebe winks and licks her lips while eyeing Chandler. Joey: (entering) Hey guys Chandler: Hey! Rachel: (ecstatic) Oh my God! Its Joey Tribbiani of Mac and C.H.E.E.S.E.!!!!!! (Everyone claps and cheers, Joey mimics looking about with a gun. Chandler: Oh thats right. Its your first day! So are you psyched to fight fake crime with your robot sidekick Joey: Am I psyched? The lead in my own TV series? Ive dreamed about this for years! Why have I not been preparing? Phoebe: No! Joey, youre going to be great Joey: But I got to act with a robot Pheebs, and-and I dont know anything about technology! I cant even use Chandlers computer except to find p0rn! And-and thats only cause its right there when you turn it on Monica: I think our lovers spat will start a little early this month Phoebe: (in a sexy voice to Chandler) Ill be waiting Opening Credit [Scene: Central Perk, time lapse. Phoebe is now looking at the covers of two different books. Chandler: Are you judging them by their covers? Because youre really not supposed to do that<|endoftext|>"
134,"<|startoftext|>Written by: Greg Malin Transcribed by: Eric Aase [Scene: Monica, Chandler, and Phoebe's, Chandler is on the phone, Rachel and Monica are sitting in the kitchen. Chandler: Buh-bye. (Hangs up the phone) I just got us reservations at Michelles and tickets to the Musicman to celebrate our first holiday season as a betroughed couple Monica: Betrothed (Corrects him Chandler: betrothed couple Phoebe: (entering carrying a skull) Hey Chandler: Hey Rachel and Monica: Hi Phoebe: Haaaa... (Puts the skull on the table) ... ahhhh Chandler: Pheebs Phoebe: Huh Chandler: Skull Phoebe: Oh, yeah, it's my mom's Rachel: (freaking out) Oh my god! Phoebe: No, no, no. It's not! It's not my mom. It belonged to mom. Yeah, no, she used to put it out every Christmas to remind us, that even though it's Christmas, people still die. And, you can put candy in it. (She grabs the skull, pulls out a stick of licorice, and takes a bite. Ross: (entering) Hey All: Hey Monica: (Offering Ross the skull) Licorice Ross: (Thinking it over) Sure! (Takes one) Hey, I just found out, I get Ben for the holidays this year All: Ohh! That's great Monica: Are you gonna dress up as Santa Ross: Nope. I mean, I know Susan does every year, but I think I wanna take this year to teach him all about Hanukkah Phoebe: And maybe I could teach Ben about the Christmas skull and how people die Rachel: You may need to use this year to teach Ben about Phoebe<|endoftext|>"
135,"<|startoftext|>Teleplay by: Jill Condon & Amy Toomi Story by: Andrew Reich & Ted Cohe Transcribed by: Eric Aase [Scene: Central Perk, Joey and Chandler are there as Phoebe enters carrying a drum. Phoebe: Hey Chandler: Hey! Wow, it is true what they say, pregnant bellies look like a drum Phoebe: (not amused) Ha-ha. (She sits down on the couch.) No, its just Im so pregnant that Imy guitar doesnt fit anymore. So I thought til Im not, Im just gonna play all my songs on this drum. It sounds really cool Chandler: All right Phoebe: Listen. Listen. (She starts to play and sing.) Smelly cat, smelly cat, what are they feeding you Joey: Wow, Pheebs! That sounds great Phoebe: I know! I know, and Ive only been playing for like an hour Alice: (entering) Phoebe! Phoebe! Hi! Hi Phoebe: Hey! What are you doing here Alice: Umm, actually, I came down to ask you a big favour Phoebe: Oh, well, dont tell me you want to keep more of your stuff in my uterus Alice: (laughs) No. No. No. (Sits down.) Okay, now, see, I wanna name the girl baby Leslie, and Frank wants to name one of the boy babies Frank JR. JR Chandler: Wouldnt that be Frank the III Alice: Dont get me started. (To Phoebe) Anyway, umm, since there are three babies and umm, we both got to put our names in, we would be truly honoured if you named the other boy baby Phoebe: Wow! Thats so great! Oh! Oh! Cougar Alice: You think about it. (Leaves OPENING CREDIT [Scene: Rosss apartment, he and Emily are getting ready to go to the airport. Emily: I left a bra drying on the shower rod, you dont think your son will think its yours and be horribly traumatised Ross: Hey, if mommy can have a wife, daddy can have a bra Emily: (checks the clock) Ohh, its time to go<|endoftext|>"
136,"<|startoftext|>Written by: Scott Silver Transcribed by: Eric Aase [Scene: Chandler and Joey's, 3:02 A.M., Chandler is up. There's a knock on the door and Chandler answers it. Monica: (quietly) Hi Chandler: (quietly) Hi! (They both start kissing. (Joey enters and Chandler pushes her away. Joey: Monica? What time is it Chandler: Uhh, 9. (He pushes the clock into the sink. Joey: But it's dark out Monica: Well that's because you always sleep to noon, silly! This is what 9 looks like Joey: I guess I'll get washed up then. Watch that sunrise. (He goes into the bathroom. Monica: I'm really getting tired of sneaking around Chandler: I know, me too. Hey! Y'know what if we went away for a whole weekend? Y'know we'd have no interruptions and we could be naked the entire time Monica: All weekend? That's a whole lotta naked Chandler: Yeah, I can say that I have a conference and you can say you have a chef thing Monica: Ohh, I've always wanted to go to this culinary fair that they have in Jersey Chandler: Okay, y'know your not though. Let's go. (He starts for his bedroom. Monica: Wait! What about Joey (Chandler opens the bathroom door to reveal Joey passed out on the toilet with a toothbrush in his mouth. Opening Credit [Scene: Monica and Rachel's, the next morning, Chandler, Joey, and Phoebe are eating breakfast. Monica: (entering from her room) Hey, guess what I'm doing this weekend! I'm going to this culinary fair in New Jersey Phoebe: Oh weird, Chandler just told us he's got a conference there Monica: Oh now that-that-that's funny, it seems like Chandler's conference could've been in Connecticut or Vermont Chandler: I'm not in charge of where the conference is held. Do you want people to think it's a fake conference? It's a real conference<|endoftext|>"
137,"<|startoftext|>Written by: Michael Curtis & Gregory S. Malin Transcribed by: Eric Aase [Scene: Central Perk, the gang's all there. Ross has a slip of paper that he throws on the ground tying to get Rachel's attention. Ross: (picking up the slip of paper) Hello! What's this? Oh right its that girl's phone number. (Rachel ignores him) Yeah-yeah, there it is, just a phone number a really hot girl gave me. (He holds it so that Rachel can see it, she continues to ignore him) It's no big deal, I mean it is her home phone number, but...(Rachel still ignores him) Whoa! (Throws it in her lap) Whoa-whoops, I almost lost this baby! Yeah, the lovely Amanda gives me her number and I-I go and drop it. (He waves it in front of Rachel's face. Then suddenly Phoebe has to sneeze and Rachel quickly grabs the slip of paper and gives it to Phoebe for her to sneeze into. Phoebe: Thank you OPENING CREDIT [Scene: Central Perk, the next morning. Chandler, Monica, Ross, and Rachel are there. Gunther: Rachel Rachel: Yeah Gunther: When's your birthday Rachel: May fifth, why Gunther: Oh, I-I'm just making a list of people's birthdays Ross: Oh, mine's December.. Gunther: Yeah, whatever. (Walks away (Chandler is talking to Monica and notices a beautiful woman. Chandler: Ohh, she's pretty. Pretty ahh, pretty girl, the pretty--she's pretty Monica: Just go up to her and ask her out. (Chandler laughs) Oh, what's the worst thing that could happen Chandler: I could die Ross: Yeah, it's-it's tough being single. That's why I'm so glad I found Amanda Rachel: Ross, you guys went out once. You took your kids to Chucky Cheese, and you didn't even kiss her (Ross glares at Chandler. Chandler: I tell people secrets. It makes them like me Phoebe: (entering) Oh Chandler: Hey! (Phoebe sneezes Monica: Phoebe! You're sick, you shouldn't play. You should just go home, get in bed, and stay there<|endoftext|>"
138,"<|startoftext|>Teleplay by: Brian Buckner & Sebastian Jone Story by: Sherry Bilsing & Ellen Plumme Transcribed by: Eric Aase [Scene: Joey and Rachel's, Rachel is trying to move Joeys chair and not having much luck at it as Joey enters. Joey: Hey Rachel: Hey Joey: What are you doing Rachel: Well, yknow I was thinking of moving the couch over here Joey: (laughs) Why would you want to do that Rachel: So that there will be a decent place for me to sit Joey: Rach, there is a decent place t Rachel: And your lap does not count! Okay? Come on help me move this Joey: No. No. No Rachel: No Joey: No. Rosita does not move Rachel: Im sorry, Rosita? As i Joey: As in Rosita does not move Rachel: Joey, its just a chair! Whats the big deal Joey: The big deal is that it is the exact equal distance from the bathroom to the kitchen and its at the perfect angle so you dont get any glare coming of off Stevie Rachel: Stevie the TV Joey: (glaring at her) Is there a problem Rachel: No! (Joey sets his beer and bag of chips down and heads into his room.) Oh what does he know! Come on Rosita, us chichas got to stick together! (She tries pulling on the back of the chair, until the hinge breaks and the back falls off.) You bitch Opening Credit [Scene: Central Perk, Chandler and Ross are on the couch talking. Phoebe is getting coffee. Ross: Hey, yknow whats weird? After you guys get married, when you introduce me to people youre gonna have to say, ""This is my brother-in-law Ross."" Not, ""My friend Ross,"" ""brother-in-law Ross."" Thats weird isnt it<|endoftext|>"
139,"<|startoftext|>Written by: Alexa Jung Transcribed by: Eric Aase [Scene: Chandler and Joey's, Monica and Chandler are making out on one of the chairs. Joey: (entering) Hey! Hey! Hey! Hey!! None of that, not while you're living under my roof Monica: What? Joey: Look, just because I know about you two, doesn't mean I like looking at it Chandler: Aren't you supposed to be at an audition for another hour Joey: Well, I'm sorry if I'm not a middle-aged black woman! (Starts for his room.) And I'm also sorry if sometimes I go to the wrong audition! Okay, look, if I have to pretend I don't know about you two, then you two are gonna have to pretend there's nothing to know about Chandler and Monica: Okay Monica: Sorry Chandler: Sorry (They wait for Joey to go into his room and close the door and then start making out again. Joey: (from the bedroom) I can hear that Monica: (To Chandler) Rachel's at work (They both go to her apartment. (Pause. Joey: I can still hear you Opening Credit [Scene: Central Perk, Joey, Chandler, and Monica are there as Phoebe enters carrying a large box. Phoebe: Hey Joey: Hey Chandler: Hello Monica: Hey, what's that Phoebe: Yeah, my mom sent me a family heirloom that once belonged to my grandmother. Can you believe it?! A year ago I didn't even have a family, and now I have heirlooms for crying out loud (She puts her leg up on the chair and removes this huge knife from her boot to open the box with. The guys are shocked at the knife's existence.<|endoftext|>"
140,"<|startoftext|>Teleplay by: Gigi McCreery & Perry Rei Story by: Seth Kurlan Transcribed by: Eric Aase [Scene: Joey and now Rachel's apartment, Joey has the fridge pulled out away from the wall and is in the process of pulling off the cooling grate behind it. Joey: Well that thing is clearing in the way! All right. Ah-ha! (He grabs a screwdriver and starts to attack the compressor, only he causes a small short circuit and shocks himself.) Ah-ah!! Damn fridge (Rachel enters from her new room. Rachel: Hi Joey, how ya doin Joey: Great! Roomie Rachel: Huh, yeah I guess we are roommates now Joey: Yeah! Well, now that you brought it up, our fridge is broken. We have to get a new one. Now, I checked around and your half is $400. Thanks a lot Rachel: Im not paying for half of that! Im only staying here until my apartment gets fixed Joey: Look Rach, my parents bought this fridge just after I was born, okay? Now, I have never had a problem with it. Then you show up and it breaks! What does that tell ya Rachel: That refrigerators dont live as long as people Joey: All right, now you know that the ATM will only lets you take out 300 at a time, Ill take a check for the other hundred Rachel: Youre jokin right Joey: Of course Im jokin! I dont take checks Rachel: Thank God youre pretty. (Exits. Opening Credit [Scene: Central Perk, Joey, Chandler, Monica, and Phoebe are there as Rachel enters. Rachel: Hey All: Hi! Hey Rachel: Do you guys know any cute guys Chandler: Well, of course I do! My good friend Joey over here. (Pats Joeys arm, Joey pats Chandlers shoulder, and Chandler motions for Joey to say the same about him. Joey: Oh, Im sorry. Thank you Chandler Rachel: Anyway, theres this big charity ball this weekend and Ralph Lauren bought a table, so I kinda have to g<|endoftext|>"
141,"<|startoftext|>Written by: Sherry Bilsing-Graham & Ellen Plumme Transcribed by: Kiza Abuzahr With Minor Adjustments by: Eric Aase [Scene: Phoebe and Rachels new apartment, Rachel and Phoebe are making their answering machine message. Phoebe: Ready Rachel: Yeah Phoebe: Okay Rachel: Hi.. Phoebe: it's.. Rachel: Rachel.. Phoebe: an Rachel: Phoebes.. Phoebe: please.. Rachel: leave.. Phoebe: leav Rachel: Wait, I-I just said ""leave. Phoebe: Yeah, I know because you have all the good words. What do I get? I get ""its,"" ""and"" oh I'm sorry, I have ""A."" Forget it Rachel: Phoebe, come on that's silly Phoebe: All right, so let's switch Rachel: No, I have all of the good words. OK, fine, fine, we can switch Phoebe: Okay Rachel: Okay Phoebe: H Rachel: Everybod Phoebe: It'<|endoftext|>"
142,"<|startoftext|>Teleplay by: Andrew Reich & Ted Cohe Story by: Sherry Bilsing & Ellen Plumme Transcribed by: Eric Aase [Scene: Monica and Chandler's, Monica, Chandler, Ross, and Rachel are sitting around the table. Monica: Im glad youre here, we have a couple of things to ask you about the wedding ceremony Rachel: (starting to cry) Oh Ross: Whats the matter? You okay Rachel: Yeah, its just ykno Chandler: (To Ross) Monica said wedding Monica: Uh, so anyway, we thought one of you could read something during the ceremony Rachel: Oh! I would love to read a poem Chandler: Do you think you could get through a poem Rachel: (crying) Itll be a short one Monica: Okay, so Ross will be doing the reading Rachel: Ohh Ross: Okay. Yeah, I guess, I guess I could do that too Chandler: Too Ross: Yeah, I kind of uh, have something else planned for you guys Monica: Do you mind telling us what it is Ross: Sorry, Im kinda keeping this one on the Q.T Chandler: Well, whatever it is, I hope it involves winking. (Winks in a spy-type manner. Joey: (entering, excited) Hey All: Hey Joey: So I just talked to one of the DOOL writers today, an Monica: What is DOOL<|endoftext|>"
143,"<|startoftext|>Teleplay by: Suzie Villandr Story by: Brian Boyl Transcribed by: Eric Aase [Scene: Monica and Rachel's, Monica and Rachel are hosting a New Year's party. So the place is crowded and in a shameless promotion for NBC they're watching Jay Leno's coverage of New Year's from Time Square. Jay Leno: (On TV to Dick Clark) Is there any entertainment there? What are people doing Joey: All right! Here we go! 1999! The year of Joey Chandler: (deadpan, standing next to Monica) We're very happy for you Joey: What's the matter? Chandler: We wanted to kiss at midnight, but nobody else is going to so y'kno Joey: All right, I'll take care of it Monica: Oh no, wait! Joey (They try to stop him, not sure of what he's planning. He ignores them and goes to talk to Ross. Ross: (hopping) 73! 72! 71 Joey: Ross! Ross! Ross, listen! Who are you kissing at midnight, huh? Rachel or Phoebe Ross: What Joey: Well you gotta kiss someone, you can't kiss your sister Ross: Well, who's gonna kiss my sister Joey: Chandler Ross: Awww, man! Really Joey: Dude-dude, who would you rather have kiss your sister, me or Chandler Ross: That's a good point Joey: Yeah Ross: Oh well, since I have that whole history with Rachel, I guess Phoebe Joey: Okay, great Ross: All right<|endoftext|>"
